We're gonna take data!
Sensor 9, Sensor 8, Sensor 7, Iterations
28, 37, 25, 1
28, 37, 25, 2
28, 37, 25, 3
27, 37, 25, 4
27, 36, 25, 5
27, 35, 25, 6
27, 35, 24, 7
26, 35, 25, 8
26, 35, 24, 9
26, 35, 24, 10
26, 35, 25, 11
27, 36, 25, 12
28, 37, 26, 13
29, 37, 26, 14
28, 37, 27, 15
29, 37, 26, 16
29, 37, 26, 17
28, 37, 26, 18
28, 36, 26, 19
28, 36, 26, 20
28, 36, 26, 21
27, 36, 25, 22
27, 36, 25, 23
27, 35, 25, 24
27, 36, 25, 25
28, 36, 26, 26
28, 37, 26, 27
29, 36, 26, 28
28, 36, 26, 29
29, 36, 26, 30
28, 36, 26, 31
27, 35, 26, 32
27, 35, 26, 33
27, 35, 25, 34
27, 35, 26, 35
27, 35, 26, 36
28, 36, 26, 37
28, 36, 26, 38
27, 36, 26, 39
28, 36, 26, 40
27, 35, 26, 41
27, 35, 25, 42
27, 34, 25, 43
26, 34, 25, 44
26, 34, 25, 45
26, 34, 24, 46
26, 34, 24, 47
26, 34, 25, 48
27, 36, 26, 49
29, 36, 26, 50
28, 36, 26, 51
29, 37, 27, 52
29, 37, 27, 53
29, 37, 27, 54
29, 36, 26, 55
28, 35, 26, 56
28, 35, 26, 57
28, 35, 26, 58
28, 36, 26, 59
28, 36, 26, 60
29, 36, 26, 61
29, 37, 27, 62
29, 37, 27, 63
29, 37, 27, 64
28, 35, 26, 65
28, 35, 26, 66
28, 35, 26, 67
28, 35, 26, 68
28, 35, 26, 69
28, 35, 26, 70
28, 35, 26, 71
28, 35, 26, 72
28, 36, 26, 73
28, 36, 26, 74
28, 36, 27, 75
28, 35, 26, 76
28, 35, 26, 77
28, 35, 26, 78
27, 34, 25, 79
27, 34, 25, 80
27, 34, 25, 81
27, 34, 25, 82
26, 33, 25, 83
26, 34, 25, 84
28, 35, 26, 85
29, 36, 26, 86
29, 36, 27, 87
29, 36, 27, 88
30, 37, 27, 89
30, 37, 27, 90
30, 37, 27, 91
30, 37, 28, 92
30, 37, 28, 93
31, 38, 28, 94
30, 38, 28, 95
30, 37, 27, 96
30, 37, 27, 97
29, 36, 27, 98
30, 36, 27, 99
29, 36, 27, 100
29, 36, 27, 101
29, 36, 26, 102
29, 35, 27, 103
28, 36, 27, 104
29, 36, 27, 105
29, 35, 26, 106
28, 35, 27, 107
28, 35, 26, 108
28, 35, 26, 109
28, 35, 26, 110
28, 35, 26, 111
28, 34, 26, 112
28, 35, 26, 113
28, 34, 26, 114
28, 34, 26, 115
27, 34, 26, 116
28, 35, 26, 117
28, 34, 26, 118
28, 34, 26, 119
28, 34, 26, 120
28, 35, 26, 121
28, 35, 26, 122
28, 34, 26, 123
29, 36, 27, 124
29, 36, 26, 125
28, 36, 27, 126
28, 35, 27, 127
28, 35, 26, 128
29, 35, 27, 129
30, 36, 27, 130
30, 37, 27, 131
30, 36, 27, 132
30, 36, 28, 133
30, 37, 28, 134
30, 37, 27, 135
30, 36, 28, 136
30, 37, 28, 137
30, 37, 28, 138
30, 37, 28, 139
30, 37, 28, 140
30, 37, 28, 141
30, 37, 28, 142
30, 36, 27, 143
30, 36, 28, 144
