We're gonna take data!
Sensor 4, Sensor 5, Sensor 10, Iterations
0, 40, 47, 1
0, 37, 43, 2
0, 36, 41, 3
0, 35, 39, 4
0, 34, 38, 5
0, 33, 37, 6
0, 32, 36, 7
0, 32, 36, 8
0, 32, 35, 9
0, 31, 35, 10
0, 32, 35, 11
0, 31, 35, 12
0, 31, 35, 13
0, 31, 34, 14
0, 31, 34, 15
0, 31, 34, 16
0, 31, 34, 17
0, 31, 35, 18
0, 32, 35, 19
0, 32, 35, 20
0, 32, 35, 21
0, 32, 36, 22
0, 32, 35, 23
0, 32, 36, 24
0, 32, 36, 25
0, 32, 35, 26
0, 32, 35, 27
0, 32, 35, 28
0, 32, 35, 29
0, 32, 35, 30
0, 32, 35, 31
0, 31, 34, 32
0, 31, 34, 33
0, 31, 34, 34
0, 31, 34, 35
0, 30, 33, 36
0, 30, 32, 37
0, 29, 33, 38
0, 30, 33, 39
0, 31, 34, 40
0, 31, 34, 41
0, 31, 34, 42
0, 32, 35, 43
0, 31, 35, 44
0, 32, 35, 45
0, 32, 34, 46
0, 31, 34, 47
0, 31, 34, 48
0, 31, 34, 49
0, 32, 34, 50
0, 32, 35, 51
0, 32, 35, 52
0, 32, 35, 53
0, 32, 35, 54
0, 32, 35, 55
0, 32, 35, 56
0, 32, 35, 57
0, 31, 35, 58
0, 31, 34, 59
0, 31, 34, 60
0, 31, 34, 61
0, 32, 34, 62
0, 32, 34, 63
0, 31, 34, 64
0, 31, 34, 65
0, 31, 34, 66
0, 31, 34, 67
0, 31, 34, 68
0, 31, 34, 69
0, 31, 34, 70
0, 31, 34, 71
0, 31, 34, 72
0, 31, 34, 73
0, 31, 33, 74
0, 30, 34, 75
0, 31, 33, 76
0, 31, 33, 77
0, 30, 33, 78
0, 31, 33, 79
0, 31, 34, 80
0, 31, 34, 81
0, 32, 35, 82
0, 32, 34, 83
0, 32, 35, 84
0, 32, 35, 85
0, 32, 35, 86
0, 32, 35, 87
0, 32, 35, 88
0, 32, 35, 89
0, 32, 35, 90
0, 32, 35, 91
0, 32, 35, 92
0, 32, 35, 93
0, 32, 35, 94
0, 32, 34, 95
0, 31, 34, 96
0, 31, 34, 97
0, 31, 33, 98
0, 30, 33, 99
0, 30, 33, 100
0, 30, 32, 101
0, 31, 33, 102
0, 31, 34, 103
0, 32, 34, 104
0, 32, 34, 105
0, 32, 35, 106
0, 32, 35, 107
0, 32, 35, 108
0, 32, 35, 109
0, 32, 35, 110
0, 32, 35, 111
0, 32, 35, 112
0, 32, 35, 113
0, 32, 35, 114
0, 32, 35, 115
0, 32, 35, 116
0, 32, 35, 117
0, 32, 35, 118
0, 32, 35, 119
0, 32, 35, 120
0, 32, 35, 121
0, 32, 34, 122
0, 32, 34, 123
0, 32, 34, 124
0, 32, 34, 125
0, 32, 34, 126
0, 32, 35, 127
0, 32, 34, 128
0, 32, 34, 129
0, 32, 34, 130
0, 32, 34, 131
0, 32, 34, 132
0, 31, 34, 133
0, 31, 34, 134
0, 31, 34, 135
0, 31, 34, 136
0, 31, 34, 137
0, 32, 34, 138
0, 32, 35, 139
0, 32, 35, 140
0, 32, 35, 141
0, 32, 34, 142
0, 32, 34, 143
0, 32, 35, 144
