We're gonna take data!
Sensor 9, Sensor 8, Sensor 7, Iterations
27, 32, 25, 1
27, 31, 24, 2
26, 31, 24, 3
25, 30, 24, 4
25, 30, 24, 5
24, 29, 23, 6
24, 29, 23, 7
24, 29, 23, 8
24, 29, 23, 9
25, 30, 23, 10
25, 30, 24, 11
26, 31, 25, 12
26, 31, 25, 13
26, 32, 25, 14
26, 31, 25, 15
26, 31, 25, 16
26, 31, 24, 17
26, 31, 25, 18
26, 30, 24, 19
26, 31, 25, 20
26, 30, 24, 21
26, 30, 24, 22
25, 30, 24, 23
25, 30, 24, 24
26, 31, 25, 25
26, 32, 25, 26
26, 32, 25, 27
27, 32, 25, 28
27, 32, 25, 29
27, 32, 25, 30
27, 32, 25, 31
26, 31, 25, 32
27, 31, 25, 33
27, 32, 25, 34
27, 31, 25, 35
26, 31, 25, 36
26, 32, 25, 37
26, 31, 25, 38
26, 31, 25, 39
26, 31, 25, 40
26, 31, 25, 41
27, 31, 25, 42
26, 31, 24, 43
25, 30, 24, 44
25, 30, 24, 45
25, 30, 24, 46
25, 30, 24, 47
25, 30, 24, 48
25, 30, 24, 49
25, 30, 24, 50
25, 30, 24, 51
25, 29, 24, 52
25, 30, 24, 53
26, 30, 24, 54
27, 32, 25, 55
27, 32, 25, 56
27, 32, 25, 57
27, 32, 26, 58
27, 32, 26, 59
27, 32, 25, 60
26, 31, 25, 61
26, 31, 25, 62
26, 31, 25, 63
27, 31, 25, 64
27, 32, 26, 65
27, 32, 25, 66
28, 32, 26, 67
27, 32, 25, 68
28, 32, 26, 69
